timesteps,env_idx,episode_reward,episode_length
29064,0,137.755483,101
29176,3,135.98315,101
29200,1,136.311469,101
29224,2,134.931906,101
29468,0,135.016179,101
29580,3,139.562771,101
29604,1,138.554111,101
29628,2,136.906736,101
29872,0,136.123054,101
29984,3,137.046075,101
30008,1,135.882843,101
30032,2,140.279094,101
30276,0,136.066785,101
30388,3,133.34923,101
30412,1,132.343713,101
30436,2,134.966707,101
30680,0,140.516906,101
30792,3,136.401557,101
30816,1,136.838782,101
30840,2,124.900966,101
31084,0,136.475274,101
31196,3,135.433272,101
31220,1,136.381261,101
31244,2,135.088869,101
31488,0,137.427953,101
31600,3,133.441413,101
31624,1,133.201406,101
31648,2,138.749453,101
31892,0,133.088446,101
32004,3,134.805407,101
32028,1,133.743461,101
32052,2,135.148082,101
32296,0,127.686215,101
32408,3,136.994876,101
32432,1,136.767969,101
32456,2,141.209913,101
32700,0,139.526726,101
32812,3,134.014849,101
32836,1,138.488154,101
32860,2,137.41412,101
33104,0,137.141583,101
33216,3,135.982125,101
33240,1,137.144539,101
33264,2,134.001674,101
33508,0,133.837365,101
33620,3,134.779549,101
33644,1,136.794145,101
33668,2,137.133804,101
33912,0,138.867277,101
34024,3,137.488646,101
34048,1,140.98508,101
34072,2,134.202516,101
34316,0,137.008826,101
34428,3,134.096608,101
34452,1,133.180566,101
34476,2,137.226891,101
34720,0,135.927038,101
34832,3,134.978361,101
34856,1,132.720817,101
34880,2,136.11548,101
35124,0,131.447627,101
35236,3,133.605733,101
35260,1,136.092409,101
35284,2,139.384465,101
35528,0,138.231895,101
35640,3,133.289355,101
35664,1,136.478523,101
35688,2,134.149195,101
35932,0,136.639338,101
36044,3,136.342408,101
36068,1,136.93471,101
36092,2,135.130212,101
36336,0,136.633705,101
36448,3,133.291668,101
36472,1,134.298299,101
36496,2,132.789158,101
36556,2,-2.023295,15
36740,0,132.543027,101
36852,3,133.405823,101
36876,1,135.640439,101
36960,2,136.494247,101
37144,0,137.443161,101
37256,3,131.431035,101
37280,1,130.659765,101
37364,2,130.329114,101
37548,0,136.905609,101
37660,3,135.102043,101
37684,1,133.720557,101
37768,2,137.292162,101
37952,0,135.378005,101
38064,3,136.519862,101
38088,1,137.126051,101
38172,2,132.804258,101
38356,0,139.073529,101
38468,3,136.353211,101
38492,1,137.546399,101
38576,2,139.077447,101
