#{"t_start": 1767541112.093963, "env_id": "None"}
r,l,t
85.165057,79,122.469504
2.964524,20,122.879536
-20.0,1,122.902961
14.092811,33,123.482358
-20.0,1,123.502917
18.818522,30,124.065671
69.525667,70,125.352898
-2.914111,14,125.597542
9.957226,25,126.065796
16.326625,28,126.543457
31.699549,43,127.272761
63.446006,64,128.486164
-12.988,7,128.617234
-20.0,1,128.638137
-9.038166,10,128.81934
36.488094,47,129.682308
-17.581747,3,129.748933
-16.21453,4,129.829882
-13.58954,6,129.95427
-2.038481,15,130.25316
37.657744,45,131.227922
6.506062,22,131.607009
1.826343,18,132.001534
35.184124,43,132.797199
-20.0,1,132.820408
-20.0,1,132.84445
-20.0,1,132.865842
-18.694421,2,132.903092
10.408334,24,133.400512
-8.189089,10,133.589904
-13.243563,6,133.692101
83.945695,80,135.165915
24.578879,45,135.975556
135.815935,101,137.785113
-2.933277,14,138.059763
92.577048,89,139.682973
2.514363,18,140.058196
3.525801,20,140.485128
21.127112,32,141.160514
-20.0,1,141.183189
-20.0,1,141.203035
21.114187,33,141.811956
-20.0,1,141.838546
39.314483,50,142.709653
75.641817,76,144.098585
-20.0,1,144.118538
17.158547,30,144.667614
-20.0,1,144.687975
-6.773283,11,144.906598
-15.883347,4,144.982712
19.105841,31,145.559854
53.523375,57,146.609441
-15.568409,5,146.697433
-0.773274,16,147.001656
20.970201,34,147.653963
49.566454,56,148.649914
-5.885034,12,148.880878
-20.0,1,148.900614
-17.334252,3,148.956165
-20.0,1,148.976634
52.832467,56,150.068841
-20.0,1,150.094524
-20.0,1,150.119167
50.439753,54,151.160663
-3.142674,14,151.414234
-13.550642,6,151.527943
-20.0,1,151.552038
-20.0,1,151.573223
16.508981,30,152.130352
-20.0,1,152.149728
-2.604572,17,152.467606
-7.600011,13,152.709377
-6.112115,14,152.977183
-20.0,1,152.998136.83796,101,153.218848
1.980377,19,153.584353
-5.945.92233,53,154.421518
-3.931136,15,154.719131
-7.315179,11,154.946722
-12.996639,6,155.067667
-2.107086,16,155.366765
18.026551,32,155.963084
-20.0,1,155.984039
-20.0,1,1535.92693,46,156.725898
14.305365,29,157.271569
40.594803,53,158.225281
34.267745,47,159.064277
-20.0,1,135.70708,101,159.606467
7.273256.322023,59,160.224948
-1.957442,15,73.736688,73,161.450744
-10.309353,9,161.618125
-15.937746,4,161.690166
-20.0,1-12.849128,7,47.848979,53,162.756555
-20.0,1,162.77973
70.010358,71,164.170383
-20.0,1,164.190906
11.030304,27,164.698762
4.85962,21,165.089792
90.249681,90,166.681423
-3.397304,15,166.969339
32.717739,41,167.758692
-20.0,1,167.779832
-20.0,1,167.800917
138.089723,101,169.64125
-20.0,1,169.663215
-2.341128,16,169.976885
37.940491,45,170.797856
8.420039,29,171.330462
21.875362,34,171.957591
-15.136503,6,172.076727
-12.141096,7,172.200381
-13.559462,6,172.311235
26.043012,41,173.038443
-20.0,1,173.058139
10.09274,25,173.506779
20.700747,32,174.12049
-20.0,1,17426.466079,35,174.492994
-9.698731,10,174.675192
132.25042,101,176.47955
50.30376,52,177.44798
5.47608,20,177.81149
31.684066,39,178.545135
-20.0,1,178.566717
1.734109,21,178.96489
-6.050606,176.000655,80,179.967628
-14.627006,5,180.064843
68.6043,65,181.32555
5.647361,24,181.777751
12.172527,28,182.294811
3.655366,19,182.650621
-20.0,1,182.671215
-20.0,1,182.691785
10.91494,27,183.214265
-20.0,1,183.234503
68.413163,73,184.533853
-20.0,1,184.553482
-20.0,1,184.57327
55.0110.615661,97,186.23719.814208,33,186.4171821137.507804,101,188.274609
27.940555,40,189.04792
133.009949,101,190.958909
-20.0,1,190.978639
16.161518,30,191.554302
127.978333,101,194.172623
29.994733,45,195.117904
58.910462,65,196.318909
40.753768,46,197.141223
-20.0,1,197.161594
-10.79323,9,197.320277
-20.0,1,197.339896
-20.0,1,197.359982
-20.0,1,197.382115
-20.0,1,197.404122
-20.0,1,197.425881
-4.160573,13,197.667934
-20.0,1,197.689098
19.193606,30,198.244609
-7.102443,12,198.486649
11.467984,25,198.948862
6.141315,21,199.339761
-20.0,1,199.360441
138.770175,101,201.356744
-6.442678,12,201.577648
32.229851,40,202.356639
-20.0,1,202.377102
-20.0,1,202.400084
-1.059364,15,202.689185
-20.0,1,202.710963
9.641.943674,51,203.37426.495206,40,203.958702
19.493623,32,204.01627.9356.97427,58,205.076618
-20.0,1,205.097024
